Belugalinsen	2,50 €	4,50 €	20,00 €		bis Ernte 2017 ausverkauft; Anm. von Leo: auch grüne Linsen
Braunhirse ganz	2,50 €	4,50 €	18,00 €		
Braunhirse gemahlen	3,00 €	5,00 €	20,00 €		
Buchweizen	2,70 €	4,80 €	20,00 €		
Buchweizenvollkornmehl	2,70 €	4,80 €	20,00 €		
Bulgur aus Purpurweizen	2,30 €	4,20 €	18,00 €		
Dinkel		2,50 €	10,00 €	45,00 €	
Dinkelmehl Type 812		3,00 €	12,00 €	55,00 €	
Dinkelmehl Type 1050		2,60 €	11,30 €	52,00 €	
Dinkelvollkornmehl		2,80 €	11,00 €		
Einkorn		3,00 €	12,00 €	55,00 €	
Einkornvollkornmehl		3,10 €	12,50 €		
Emmer		3,00 €	12,00 €	55,00 €	bis Ernte 2017 ausverkauft
Emmervollkornmehl		3,10 €	12,50 €		
Leinsamen	2,00 €	3,60 €	17,00 €		bis Ernte 2017 ausverkauft
Nackthafer		2,50 €	10,00 €	45,00 €	
Perldinkel	2,00 €	3,60 €	15,00 €		
Perleinkorn	2,30 €	4,20 €	18,00 €		
Perlemmer	2,30 €	4,20 €	18,00 €		
Purpurweizen		2,00 €	9,00 €		
Purpurweizenvollkornmehl		2,10 €	9,50 €		
Roggen		1,60 €	5,50 €	23,00 €	
Roggenmehl 1150		1,80 €	7,00 €	28,00 €	
Roggenvollkornmehl		1,70 €	6,50 €	26,00 €	
Rollgerste / Nacktgerste		2,40 €	9,50 €	42,00 €	bis Ernte 2017 ausverkauft
Weizen		1,60 €	5,50 €	23,00 €	
Weizenmehl 1050		1,80 €	7,00 €	28,00 €	
